time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/value_loss,train/explained_variance,rollout/ep_len_mean,train/n_updates,train/clip_range,rollout/ep_rew_mean,train/clip_fraction,train/entropy_loss,train/loss,train/approx_kl,train/std,train/policy_gradient_loss,train/learning_rate
33,10515,822,8650752,0.006061520016373834,0.36437666416168213,147.81,256,0.2,0.9383709036558866,0.056935787200927734,-11.56099496036768,-0.11624393612146378,0.006035871,1.2682090997695923,-0.000776860401401791,0.0003
34,10488,849,8912896,0.005628044140394195,0.3442596197128296,147.75,264,0.2,0.9955378379672766,0.06650733947753906,-11.603738151490688,-0.11693436652421951,0.006110024,1.27581787109375,-0.0005795959987153765,0.0003
35,10456,877,9175040,0.006423137328965822,0.5036599338054657,168.25,272,0.2,1.062738581597805,0.05914783477783203,-11.657041728496552,-0.1172972247004509,0.0061482294,1.287733554840088,-0.0006782412442589703,0.0003
36,10421,905,9437184,0.00582460017176345,0.41407090425491333,166.98,280,0.2,1.022992698699236,0.06199502944946289,-11.714777447283268,-0.1173035129904747,0.007062903,1.2983145713806152,-0.0005935187027716893,0.0003
37,10389,933,9699328,0.003883313504047692,0.3358711004257202,161.91,288,0.2,1.1713446609675884,0.048700809478759766,-11.769172094762325,-0.1200566217303276,0.00533269,1.3087189197540283,-0.0007179000949690817,0.0003
38,10365,961,9961472,0.005841062900799443,0.2874141335487366,154.38,296,0.2,0.9890621024370193,0.062209129333496094,-11.814402252435684,-0.11935921758413315,0.0055921557,1.3171977996826172,-0.0007123043187675648,0.0003
39,10341,988,10223616,0.006593472407985246,0.31968235969543457,157.03,304,0.2,1.0239066417515277,0.056490421295166016,-11.870305374264717,-0.1192668229341507,0.0057791285,1.3298288583755493,-0.00041426315874559805,0.0003
40,10311,1016,10485760,0.008159045115462504,0.4247494339942932,153.72,312,0.2,1.1282116037607193,0.07204532623291016,-11.92997557669878,-0.12061817198991776,0.0060518915,1.340320110321045,-0.00029522851946239825,0.0003
41,10282,1045,10747904,0.00932070248745731,0.4353805184364319,147.63,320,0.2,0.9841560028493405,0.062285423278808594,-11.986652009189129,-0.12057141959667206,0.0064810137,1.3535772562026978,-0.0005988689190417062,0.0003
42,10262,1072,11010048,0.01118574110296322,0.48545968532562256,152.85,328,0.2,1.0746636787801982,0.06802177429199219,-12.053226880729198,-0.12088385969400406,0.0071522747,1.3667876720428467,-0.0003786351417147671,0.0003
43,10244,1100,11272192,0.007608095205796417,0.4104245901107788,161.43,336,0.2,0.9923887260258197,0.06116819381713867,-12.12188769876957,-0.12248945981264114,0.0059579983,1.3799588680267334,-0.0005936415168434905,0.0003
44,10218,1128,11534336,0.006020884917234071,0.38858795166015625,160.72,344,0.2,1.0235004411637783,0.06208086013793945,-12.187417961657047,-0.12350556254386902,0.00715649,1.394083857536316,-0.00060151174557177,0.0003
45,10197,1156,11796480,0.004650271919672377,0.3484986424446106,169.02,352,0.2,1.1084228698164225,0.0592961311340332,-12.241818375885487,-0.12059245258569717,0.006298809,1.4048973321914673,-0.0008499422579006932,0.0003
46,10175,1185,12058624,0.0074763286611414514,0.4861811399459839,188.07,360,0.2,1.132996078133583,0.07343006134033203,-12.294212847948074,-0.12265434116125107,0.0060744747,1.416654348373413,-0.0004486477228056174,0.0003
47,10160,1212,12320768,0.00618623379523342,0.6672184467315674,165.7,368,0.2,1.0185493417084217,0.0740976333618164,-12.358166083693504,-0.1252223551273346,0.006855014,1.4327493906021118,-0.00098424293082644,0.0003
48,10145,1240,12582912,0.007433386854245327,0.47773051261901855,171.27,376,0.2,1.221199040710926,0.07137584686279297,-12.413262583315372,-0.12458045780658722,0.0066518686,1.4416038990020752,-0.001094065305096592,0.0003
49,10127,1268,12845056,0.00714241302193841,0.4005146026611328,156.75,384,0.2,1.2431638605892659,0.0731201171875,-12.47043215483427,-0.12607677280902863,0.006182783,1.4560236930847168,-0.0006599211124012072,0.0003
50,10110,1296,13107200,0.009037744803208625,0.4320374131202698,160.91,392,0.2,1.1517740120738744,0.0734720230102539,-12.54078059643507,-0.12596812844276428,0.006524234,1.4730544090270996,-0.0007410033213091083,0.0003
51,10093,1324,13369344,0.005981405480270041,0.42555713653564453,152.55,400,0.2,1.057532589584589,0.0658721923828125,-12.593959748744965,-0.12514448165893555,0.0070145894,1.4826360940933228,-0.0006194495636009378,0.0003
52,10077,1352,13631488,0.008556212924304418,0.4968225955963135,146.34,408,0.2,0.9609083655104041,0.0691232681274414,-12.647484622895718,-0.1292230188846588,0.0063730045,1.4967836141586304,-0.0005316339825185423,0.0003
53,10059,1381,13893632,0.007266722786880564,0.5490407049655914,139.28,416,0.2,0.8786992750316859,0.06735563278198242,-12.70986408740282,-0.12684807181358337,0.0063179038,1.5104272365570068,-0.000556150943339162,0.0003
54,10045,1409,14155776,0.010641972832672764,0.45142626762390137,140.39,424,0.2,0.9323821204900742,0.07037639617919922,-12.772459290921688,-0.12777575850486755,0.0063864696,1.5247538089752197,-0.0009359969167235249,0.0003
55,10032,1437,14417920,0.009101200321310898,0.45487862825393677,145.86,432,0.2,0.9534861080348491,0.07451391220092773,-12.834854640066624,-0.1288001835346222,0.006429162,1.5401445627212524,-0.0006117323068792757,0.0003
56,10021,1464,14680064,0.010619721317198128,0.736275315284729,141.48,440,0.2,1.0255833756923676,0.08315515518188477,-12.916250750422478,-0.13016800582408905,0.009102178,1.56261146068573,-0.0013535641614907945,0.0003
57,10007,1493,14942208,0.007685570682951948,0.43415987491607666,139.92,448,0.2,0.8718921081349253,0.06851720809936523,-12.991546154022217,-0.13078896701335907,0.008336264,1.5762485265731812,-0.0009097319916691049,0.0003
