time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/approx_kl,train/loss,train/entropy_loss,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/std,train/n_updates,train/clip_range,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean
1512,59,10227,15466496,0.0062559796,-0.11729930341243744,-11.854844026267529,0.001719728841635515,0.0003,-0.0005621937852993142,0.3993627429008484,1.3540995121002197,458,0.2,0.05861091613769531,134.69,1.0433810608834029
1539,60,10219,15728640,0.0061370917,-0.11978194117546082,-11.868971034884453,0.00225717462853936,0.0003,-0.00010227356597170001,0.37817293405532837,1.357909917831421,466,0.2,0.07458353042602539,147.57,1.1050597520545125
1565,61,10213,15990784,0.0051949057,-0.12015972286462784,-11.880104579031467,0.001976186063075147,0.0003,-0.000519472209361993,0.4112703800201416,1.3618324995040894,474,0.2,0.06790781021118164,126.38,1.0107708766311407
1593,62,10199,16252928,0.0062967576,-0.11902181804180145,-11.894922032952309,0.0015555501522612758,0.0003,-0.0006600047154279309,0.46027320623397827,1.3668233156204224,482,0.2,0.05889463424682617,142.43,1.1125565347075463
1620,63,10193,16515072,0.0073286435,-0.11977213621139526,-11.90621329843998,0.002566232358731213,0.0003,6.891235625516856e-05,0.39386141300201416,1.36998450756073,490,0.2,0.08006048202514648,149.85,1.2645381814613939
1646,64,10190,16777216,0.01836948,-0.11871218681335449,-11.911386038127699,0.0027970530423580818,0.0003,0.0006435299476020431,0.47205299139022827,1.3719360828399658,492,0.2,0.05012271278782895,150.55,1.1888311106711626
1672,65,10185,17039360,0.0068612373,-0.12003254890441895,-11.926645904779434,0.001474465650971979,0.0003,-0.0002797374716010381,0.4571725130081177,1.3765690326690674,500,0.2,0.06388711929321289,153.47,1.2751768644154071
1699,66,10177,17301504,0.005819101,-0.12270589172840118,-11.931962870061398,0.0012096524123990093,0.0003,-0.000573526169773686,0.473358690738678,1.3795024156570435,508,0.2,0.0656747817993164,136.45,1.1063954732567072
1727,67,10168,17563648,0.005704941,-0.12240809947252274,-11.946059934794903,0.0016731466266719508,0.0003,-0.00048478575627086684,0.4455130100250244,1.3847671747207642,516,0.2,0.06767129898071289,145.06,1.2997099834680557
1753,68,10163,17825792,0.0063797683,-0.12088733911514282,-11.964310176670551,0.002137675863195909,0.0003,-0.0004022067287223763,0.41182941198349,1.3893377780914307,524,0.2,0.06605863571166992,149.21,1.217229030355811
1780,69,10156,18087936,0.00594816,-0.11898758262395859,-11.98050781339407,0.002216930274698825,0.0003,-0.0005856574362042011,0.4798286557197571,1.395682692527771,532,0.2,0.06100273132324219,141.1,1.1411135073006153
1807,70,10152,18350080,0.0052303355,-0.12319435179233551,-11.987808242440224,0.0017212704851772287,0.0003,-0.000871987285790965,0.44322681427001953,1.3990806341171265,540,0.2,0.059102535247802734,141.22,1.144333569481969
1835,71,10142,18612224,0.0059946687,-0.12089560925960541,-12.001113466918468,0.0016926138050621375,0.0003,-0.00044688976004181313,0.45638537406921387,1.403493046760559,548,0.2,0.06309223175048828,152.45,1.260756541416049
1860,72,10142,18874368,0.06968688,-0.11853468418121338,-12.005719326160571,0.0015350596039314514,0.0003,0.0015114696170375854,0.451890766620636,1.405950903892517,550,0.2,0.05202907986111111,141.2,1.1252399744093418
1887,73,10136,19136512,0.0066599743,-0.12261015921831131,-12.028696201741695,0.002411906942143105,0.0003,-0.00034417475217196625,0.6416691243648529,1.412975549697876,558,0.2,0.07867431640625,147.58,1.2906611141562463
1914,74,10132,19398656,0.006645237,-0.12117984890937805,-12.051699362695217,0.0021502322088053916,0.0003,-0.0012715513264538458,0.3851727843284607,1.4195172786712646,566,0.2,0.06311511993408203,155.83,1.330281543135643
1941,75,10126,19660800,0.0064330148,-0.12246378511190414,-12.064965449273586,0.0015110537151485914,0.0003,0.00014133454169495963,0.47087544202804565,1.4233334064483643,574,0.2,0.08002901077270508,156.06,1.311959763430059
1968,76,10120,19922944,0.0052293516,-0.12193101644515991,-12.067081578075886,0.001318042083767068,0.0003,-0.00024616749988126685,0.49321454763412476,1.4265788793563843,582,0.2,0.06591129302978516,173.42,1.468394674062729
1995,77,10115,20185088,0.0067939856,-0.12004280835390091,-12.066427446901798,0.0014884570164213073,0.0003,-0.00028449192132029566,0.47437727451324463,1.42778480052948,590,0.2,0.07192277908325195,162.79,1.3876929084211589
2022,78,10111,20447232,0.0063473517,-0.12132537364959717,-12.070220194756985,0.0016002820757421432,0.0003,-0.00044578168490261305,0.46620869636535645,1.4310380220413208,598,0.2,0.07741069793701172,157.93,1.3734017384797335
2048,79,10108,20709376,0.007222346,-0.12204791605472565,-12.076388567686081,0.001998893980271532,0.0003,-0.0005635989705297106,0.43563616275787354,1.4349011182785034,606,0.2,0.07514142990112305,163.31,1.4310773445665836
2076,80,10099,20971520,0.008614206,-0.12106021493673325,-12.081399731338024,0.0018822161046045949,0.0003,-0.0005016383222482546,0.564520537853241,1.437929391860962,614,0.2,0.07395458221435547,158.66,1.3328468679636716
