time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/loss,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_range,train/std,train/explained_variance,rollout/ep_len_mean,rollout/ep_rew_mean
1577,10302,16252928,62,-0.11902181804180145,-0.0006600047154279309,0.0062967576,0.05889463424682617,482,0.0015555501522612758,0.0003,-11.894922032952309,0.2,1.3668233156204224,0.46027320623397827,142.43,1.1125565347075463
1604,10292,16515072,63,-0.11977213621139526,6.891235625516856e-05,0.0073286435,0.08006048202514648,490,0.002566232358731213,0.0003,-11.90621329843998,0.2,1.36998450756073,0.39386141300201416,149.85,1.2645381814613939
1630,10288,16777216,64,-0.11871218681335449,0.0006435299476020431,0.01836948,0.05012271278782895,492,0.0027970530423580818,0.0003,-11.911386038127699,0.2,1.3719360828399658,0.47205299139022827,150.55,1.1888311106711626
1657,10281,17039360,65,-0.12003254890441895,-0.0002797374716010381,0.0068612373,0.06388711929321289,500,0.001474465650971979,0.0003,-11.926645904779434,0.2,1.3765690326690674,0.4571725130081177,153.47,1.2751768644154071
1684,10271,17301504,66,-0.12270589172840118,-0.000573526169773686,0.005819101,0.0656747817993164,508,0.0012096524123990093,0.0003,-11.931962870061398,0.2,1.3795024156570435,0.473358690738678,136.45,1.1063954732567072
1711,10264,17563648,67,-0.12240809947252274,-0.00048478575627086684,0.005704941,0.06767129898071289,516,0.0016731466266719508,0.0003,-11.946059934794903,0.2,1.3847671747207642,0.4455130100250244,145.06,1.2997099834680557
1738,10255,17825792,68,-0.12088733911514282,-0.0004022067287223763,0.0063797683,0.06605863571166992,524,0.002137675863195909,0.0003,-11.964310176670551,0.2,1.3893377780914307,0.41182941198349,149.21,1.217229030355811
1764,10250,18087936,69,-0.11898758262395859,-0.0005856574362042011,0.00594816,0.06100273132324219,532,0.002216930274698825,0.0003,-11.98050781339407,0.2,1.395682692527771,0.4798286557197571,141.1,1.1411135073006153
1791,10241,18350080,70,-0.12319435179233551,-0.000871987285790965,0.0052303355,0.059102535247802734,540,0.0017212704851772287,0.0003,-11.987808242440224,0.2,1.3990806341171265,0.44322681427001953,141.22,1.144333569481969
1818,10237,18612224,71,-0.12089560925960541,-0.00044688976004181313,0.0059946687,0.06309223175048828,548,0.0016926138050621375,0.0003,-12.001113466918468,0.2,1.403493046760559,0.45638537406921387,152.45,1.260756541416049
1844,10233,18874368,72,-0.11853468418121338,0.0015114696170375854,0.06968688,0.05202907986111111,550,0.0015350596039314514,0.0003,-12.005719326160571,0.2,1.405950903892517,0.451890766620636,141.2,1.1252399744093418
1871,10226,19136512,73,-0.12261015921831131,-0.00034417475217196625,0.0066599743,0.07867431640625,558,0.002411906942143105,0.0003,-12.028696201741695,0.2,1.412975549697876,0.6416691243648529,147.58,1.2906611141562463
1897,10222,19398656,74,-0.12117984890937805,-0.0012715513264538458,0.006645237,0.06311511993408203,566,0.0021502322088053916,0.0003,-12.051699362695217,0.2,1.4195172786712646,0.3851727843284607,155.83,1.330281543135643
1924,10214,19660800,75,-0.12246378511190414,0.00014133454169495963,0.0064330148,0.08002901077270508,574,0.0015110537151485914,0.0003,-12.064965449273586,0.2,1.4233334064483643,0.47087544202804565,156.06,1.311959763430059
1951,10210,19922944,76,-0.12193101644515991,-0.00024616749988126685,0.0052293516,0.06591129302978516,582,0.001318042083767068,0.0003,-12.067081578075886,0.2,1.4265788793563843,0.49321454763412476,173.42,1.468394674062729
1978,10204,20185088,77,-0.12004280835390091,-0.00028449192132029566,0.0067939856,0.07192277908325195,590,0.0014884570164213073,0.0003,-12.066427446901798,0.2,1.42778480052948,0.47437727451324463,162.79,1.3876929084211589
2004,10201,20447232,78,-0.12132537364959717,-0.00044578168490261305,0.0063473517,0.07741069793701172,598,0.0016002820757421432,0.0003,-12.070220194756985,0.2,1.4310380220413208,0.46620869636535645,157.93,1.3734017384797335
2031,10195,20709376,79,-0.12204791605472565,-0.0005635989705297106,0.007222346,0.07514142990112305,606,0.001998893980271532,0.0003,-12.076388567686081,0.2,1.4349011182785034,0.43563616275787354,163.31,1.4310773445665836
2057,10191,20971520,80,-0.12106021493673325,-0.0005016383222482546,0.008614206,0.07395458221435547,614,0.0018822161046045949,0.0003,-12.081399731338024,0.2,1.437929391860962,0.564520537853241,158.66,1.3328468679636716
