time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/entropy_loss,rollout/ep_len_mean,train/clip_range,train/clip_fraction,train/approx_kl,train/loss,rollout/ep_rew_mean,train/n_updates,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/std
2609,125,12557,32768000,-16.115331560373306,141.28,0.2,0.08917093276977539,0.0075462842,-0.16204731166362762,0.9381683461368084,985,0.007354077893978683,-0.0005238971129983838,0.5511224269866943,0.0003,2.6342475414276123
2637,126,12524,33030144,-16.157211795449257,138.59,0.2,0.09879398345947266,0.007851671,-0.16329798102378845,0.9857568299397826,993,0.007137940177926794,-0.0003547630876710173,0.5375342667102814,0.0003,2.651118755340576
2664,127,12495,33292288,-16.198703423142433,148.99,0.2,0.08671712875366211,0.008279522,-0.16217108070850372,1.1350581293553115,1001,0.008232133091951255,-0.0007078322450979613,0.581192672252655,0.0003,2.672025442123413
2691,128,12466,33554432,-16.243194833397865,130.33,0.2,0.09682416915893555,0.007850258,-0.16192710399627686,0.956442608423531,1009,0.009303416147304233,-0.0003284960021119332,0.5654231905937195,0.0003,2.6903347969055176
2718,129,12440,33816576,-16.295614302158356,147.58,0.2,0.08881950378417969,0.0070921145,-0.16401240229606628,1.0261641442403198,1017,0.006217456962986034,-0.0006145097977423575,0.4626961350440979,0.0003,2.7110300064086914
2745,130,12410,34078720,-16.334159806370735,138.58,0.2,0.08122539520263672,0.007301814,-0.16315118968486786,0.9784038993343711,1025,0.0057318161761941155,-0.0007611003584315768,0.45713233947753906,0.0003,2.728896379470825
2773,131,12380,34340864,-16.379225954413414,153.61,0.2,0.09113883972167969,0.0073172403,-0.16578076779842377,1.0476357874274254,1033,0.006904321129695745,-0.0005992720875838131,0.5004635751247406,0.0003,2.7517740726470947
2800,132,12354,34603008,-16.413731336593628,137.87,0.2,0.09779930114746094,0.008094918,-0.16559582948684692,1.0204728912189602,1041,0.0077979486632102635,-0.00021909091765337507,0.6628634929656982,0.0003,2.7627882957458496
2828,133,12324,34865152,-16.457285702228546,127.68,0.2,0.0969548225402832,0.009019729,-0.16433115303516388,0.8995697056874633,1049,0.008821031260595191,-0.0005562119649766828,0.6523926258087158,0.0003,2.786032199859619
2856,134,12299,35127296,-16.510323718190193,139.95,0.2,0.08908891677856445,0.010359794,-0.16667068004608154,0.9754993125423789,1057,0.009282904040446738,0.0005409502136899391,0.5867027938365936,0.0003,2.807865619659424
2884,135,12270,35389440,-16.562384068965912,129.72,0.2,0.11078214645385742,0.008361119,-0.1660933792591095,0.8876435025036336,1065,0.008259921567514539,1.2646664345083991e-05,0.5872617363929749,0.0003,2.831876039505005
2911,136,12245,35651584,-16.621229901909828,140.57,0.2,0.09730052947998047,0.008478656,-0.16507796943187714,1.0805641615390777,1073,0.00979157365145511,-0.0005487689018082165,0.5498673915863037,0.0003,2.857616662979126
2941,137,12208,35913728,-16.668338388204575,128.14,0.2,0.09110164642333984,0.00771751,-0.1641881912946701,0.8988692370802164,1081,0.007032331031950889,0.0004313725448810146,0.5962421298027039,0.0003,2.875156879425049
2972,138,12169,36175872,-16.720612078905106,133.84,0.2,0.11407995223999023,0.014493725,-0.1655036360025406,0.8463902550563216,1089,0.011002742412529187,0.00045184564078226686,0.5713441371917725,0.0003,2.9026644229888916
3003,139,12133,36438016,-16.785199016332626,125.65,0.2,0.09429168701171875,0.008320773,-0.168146014213562,1.0048839549720288,1097,0.00885683724845876,8.612874262325931e-05,0.5261113941669464,0.0003,2.930698871612549
3031,140,12104,36700160,-16.828722715377808,127.52,0.2,0.08604812622070312,0.008432601,-0.16893208026885986,0.8482560740783811,1105,0.007944088029034901,-0.0004923817041344591,0.472034215927124,0.0003,2.950856924057007
3060,141,12078,36962304,-16.87573777139187,125.28,0.2,0.1054844856262207,0.007975059,-0.1716483235359192,0.9869754030555487,1113,0.008585771000070963,-0.0005560202621381904,0.5303917527198792,0.0003,2.973602533340454
3088,142,12051,37224448,-16.93119288980961,131.58,0.2,0.0907893180847168,0.007787005,-0.1714574694633484,0.8464624816179276,1121,0.008149570097884862,-0.0006731725106874364,0.4676913022994995,0.0003,3.0004465579986572
3117,143,12024,37486592,-16.98334375023842,127.15,0.2,0.0975651741027832,0.008354563,-0.16903838515281677,1.025610296651721,1129,0.010918620908341836,-0.0006027143127766976,0.6163511574268341,0.0003,3.0240490436553955
3146,144,11996,37748736,-17.022484570741653,132.61,0.2,0.09741926193237305,0.008137684,-0.17038626968860626,0.8175062011927366,1137,0.011925095059268642,-0.0009733593283272057,0.6083352863788605,0.0003,3.040029287338257
3175,145,11971,38010880,-17.07333852350712,142.71,0.2,0.0895853042602539,0.009165395,-0.17176295816898346,1.1289331229031085,1145,0.008017527037736727,-0.0008657343387312721,0.48991894721984863,0.0003,3.0695650577545166
3203,146,11948,38273024,-17.136424630880356,122.51,0.2,0.0950469970703125,0.008833686,-0.17042163014411926,0.866840482801199,1153,0.00913818978369818,-0.0008659178565721959,0.48602938652038574,0.0003,3.0979087352752686
3231,147,11924,38535168,-17.184719651937485,119.96,0.2,0.09791898727416992,0.0069686817,-0.17396241426467896,0.9197341479733586,1161,0.008502973112626933,-0.0005460562306325301,0.48641228675842285,0.0003,3.1173884868621826
3259,148,11902,38797312,-17.23523998260498,119.47,0.2,0.10329484939575195,0.010675898,-0.1740545928478241,0.8917894120514392,1169,0.009482273366302252,-0.000576583151541854,0.5788875222206116,0.0003,3.1429286003112793
3287,149,11880,39059456,-17.281090289354324,118.48,0.2,0.0871286392211914,0.0076756924,-0.17394615709781647,0.7620620956271886,1177,0.00957965671113925,-0.000883636484559247,0.4822996258735657,0.0003,3.164487600326538
3315,150,11858,39321600,-17.325105398893356,126.51,0.2,0.10588884353637695,0.009085245,-0.17248624563217163,0.8219867752492428,1185,0.010410528600914404,-0.00022651321114608436,0.5410352349281311,0.0003,3.1870243549346924
3343,151,11838,39583744,-17.356920502402566,132.46,0.2,0.08410228382457387,0.014895315,-0.17206472158432007,0.9187492306530476,1188,0.01039464101830328,0.0008766214477046477,0.5305860638618469,0.0003,3.2049880027770996
3372,152,11815,39845888,-17.433675304055214,119.73,0.2,0.10174798965454102,0.009332649,-0.1734304428100586,0.7722108129039407,1196,0.012470304762246087,-0.0006160480543258018,0.5740293860435486,0.0003,3.2464730739593506
