time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,train/clip_range,train/std,train/loss,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/value_loss,train/explained_variance,rollout/ep_len_mean
14155776,1353,10455,54,1.0974065301567315,0.2,1.3139982223510742,-0.11812517046928406,0.016620133,-11.712916469573974,0.0003,0.0405609130859375,412,0.0003160728781949729,0.0021716553368605674,0.5456154644489288,144.08
14417920,1381,10439,55,1.0788469748944045,0.2,1.3190209865570068,-0.11684500426054001,0.0066264784,-11.740443781018257,0.0003,0.05742692947387695,420,-0.00025738863041624427,0.001977510807591898,0.5130501687526703,136.44
14680064,1408,10421,56,1.0150619199126958,0.2,1.3265609741210938,-0.1156366840004921,0.005835533,-11.763355821371078,0.0003,0.06296110153198242,428,-0.0003263374828748056,0.002285409539581451,0.3831794261932373,134.13
14942208,1436,10402,57,1.0032663898915053,0.2,1.329340934753418,-0.11964338272809982,0.005274133,-11.78054903447628,0.0003,0.06860828399658203,436,-0.0002741597309068311,0.0019641039934867877,0.36742061376571655,131.87
15204352,1463,10385,58,1.0387224184721708,0.2,1.3350186347961426,-0.11781036108732224,0.005579709,-11.800459206104279,0.0003,0.0551152229309082,444,-0.0003689442351060279,0.0023068728514772374,0.3850664496421814,141.05
15466496,1491,10370,59,1.0008881694078446,0.2,1.3442448377609253,-0.11904223263263702,0.0050014015,-11.837845265865326,0.0003,0.06888866424560547,452,-0.00035957306590717053,0.0023501738978666253,0.5542003810405731,131.88
15728640,1519,10353,60,1.0183437614142894,0.2,1.3480675220489502,-0.12013113498687744,0.006682356,-11.859138689935207,0.0003,0.05833625793457031,460,-0.0007502690432374948,0.0016223731627178495,0.40812045335769653,136.45
15990784,1547,10336,61,1.146597682610154,0.2,1.3560853004455566,-0.11758141964673996,0.006201281,-11.885400883853436,0.0003,0.0683741569519043,468,5.937797186561511e-05,0.001957807533472078,0.3758430480957031,143.68
16252928,1574,10320,62,1.0675987794995307,0.2,1.3609338998794556,-0.11980002373456955,0.0054871505,-11.906197525560856,0.0003,0.06226301193237305,476,-8.366474958165782e-06,0.0021636508836309076,0.41125261783599854,142.43
16515072,1602,10305,63,1.09742129214108,0.2,1.3670276403427124,-0.11867985129356384,0.0055691656,-11.929680481553078,0.0003,0.06487894058227539,484,-0.0002635861062572076,0.0020405114910317934,0.45802396535873413,138.39
16777216,1630,10291,64,1.0633140823245049,0.2,1.3734486103057861,-0.12127574533224106,0.0050805165,-11.95423685759306,0.0003,0.06485462188720703,492,0.0002117490421369439,0.0018767364290397381,0.4939539432525635,138.8
17039360,1658,10272,65,1.1325413472950459,0.2,1.3802112340927124,-0.12075258046388626,0.0056659253,-11.981222726404667,0.0003,0.05923175811767578,500,-0.0003713213982337038,0.0022179475499797263,0.628503680229187,143.39
17301504,1686,10260,66,1.0402742560580374,0.2,1.3846267461776733,-0.11942052841186523,0.0061925417,-12.001046597957611,0.0003,0.061147212982177734,508,-0.0003026727104042948,0.001992154011531966,0.49629420042037964,132.04
17563648,1714,10243,67,1.1609906225651503,0.2,1.388556718826294,-0.12271179258823395,0.006697005,-12.012631848454475,0.0003,0.07041645050048828,516,-2.0986633217034978e-05,0.0020252098256605677,0.5088213682174683,148.57
17825792,1742,10232,68,1.1303950271382928,0.2,1.3939803838729858,-0.12099263072013855,0.006360652,-12.032422184944153,0.0003,0.07316160202026367,524,0.0004402782319630205,0.0019988512804047787,0.5390964448451996,145.82
18087936,1769,10219,69,1.163349979892373,0.2,1.3998525142669678,-0.1218070387840271,0.0048136213,-12.050928570330143,0.0003,0.050837039947509766,532,-0.0006621279494538612,0.001625254134523857,0.5388428270816803,132.75
18350080,1797,10207,70,1.2479328440502286,0.2,1.4044756889343262,-0.12206553667783737,0.005138599,-12.066160045564175,0.0003,0.0547785758972168,540,-0.0004889678762083349,0.0018262697130921879,0.5797395408153534,150.87
18612224,1825,10195,71,1.2105028021335602,0.2,1.4074159860610962,-0.12020334601402283,0.006479332,-12.073684826493263,0.0003,0.06441783905029297,548,-0.00048744805326350615,0.0018722948270806228,0.3894026279449463,155.55
18874368,1853,10185,72,1.297572635859251,0.2,1.4112290143966675,-0.12280268967151642,0.0052737147,-12.082299396395683,0.0003,0.06207561492919922,556,-0.0003531800425662368,0.0017518022514195764,0.4372175335884094,161.63
19136512,1880,10175,73,1.26805487126112,0.2,1.4153403043746948,-0.12139082700014114,0.006686123,-12.091898262500763,0.0003,0.06610107421875,564,-9.014005763674504e-05,0.0016323097652275464,0.40177208185195923,153.43
19398656,1907,10169,74,1.3270293138176203,0.2,1.4209734201431274,-0.12380996346473694,0.005185415,-12.107070654630661,0.0003,0.05907440185546875,572,-0.0004434290726749168,0.00154088033377775,0.44420933723449707,159.73
19660800,1934,10161,75,1.353652230799198,0.2,1.425268530845642,-0.1210111752152443,0.005974424,-12.125555790960789,0.0003,0.0672903060913086,580,3.162930124744889e-05,0.0018208332758149481,0.41101938486099243,163.06
19922944,1961,10154,76,1.1742265836894512,0.2,1.4260342121124268,-0.12333022803068161,0.005596503,-12.126012615859509,0.0003,0.06745719909667969,588,-0.0006448558065130783,0.0014118771523499163,0.4473840594291687,147.9
20185088,1988,10148,77,1.226079684048891,0.2,1.427590012550354,-0.11368076503276825,0.00803907,-12.122788161039352,0.0003,0.07211828231811523,596,-8.909759799280437e-06,0.0015632118002031348,0.4255720376968384,149.6
20447232,2016,10140,78,1.335755864828825,0.2,1.4312222003936768,-0.12179578095674515,0.006171651,-12.128853537142277,0.0003,0.07122278213500977,604,-0.00020177678106847452,0.0017798819244490005,0.4887605309486389,153.87
20709376,2043,10136,79,1.2821319366246462,0.2,1.4357041120529175,-0.12160377949476242,0.005754183,-12.13948741555214,0.0003,0.0736546516418457,612,-0.0002648414551913447,0.0019121420282317558,0.4825141429901123,148.23
20971520,2070,10129,80,1.1492215537652373,0.2,1.4383779764175415,-0.12292010337114334,0.005550821,-12.148463293910027,0.0003,0.06595182418823242,620,0.0002026606998697389,0.0019252795282227453,0.439487099647522,141.07
21233664,2097,10124,81,1.2578133065998554,0.2,1.4450114965438843,-0.12265853583812714,0.0057237362,-12.16665668785572,0.0003,0.06516218185424805,628,-0.00011681077694447595,0.0019153900911987876,0.49587464332580566,146.03
21495808,2124,10117,82,1.1982710697501897,0.2,1.4488005638122559,-0.12361227720975876,0.005937065,-12.17827120423317,0.0003,0.06881284713745117,636,0.0001512996204837691,0.001804981533496175,0.4177500605583191,144.05
21757952,2151,10112,83,1.17518137670937,0.2,1.454713225364685,-0.12213031947612762,0.00601601,-12.194735132157803,0.0003,0.06836605072021484,644,-5.4025328608986456e-05,0.0019207241912226891,0.4503313899040222,139.68
22020096,2178,10107,84,1.2411367307603358,0.2,1.4602482318878174,-0.12388252466917038,0.0053705014,-12.21044435352087,0.0003,0.06773948669433594,652,-2.8349710646580206e-05,0.0019555392436814145,0.4365554451942444,145.91
22282240,2205,10102,85,1.2068958386033772,0.2,1.4661356210708618,-0.12371458858251572,0.0078457575,-12.227243773639202,0.0003,0.07842779159545898,660,0.0008858945234351268,0.0021660068168785074,0.46333229541778564,142.11
22544384,2232,10097,86,0.9791955296695233,0.2,1.474623203277588,-0.12179598212242126,0.006218643,-12.25603298842907,0.0003,0.07961559295654297,668,0.000352239825133438,0.0021804801863254397,0.5659784972667694,117.82
22806528,2260,10091,87,1.164361100792885,0.2,1.4786449670791626,-0.12398601323366165,0.005712828,-12.270808294415474,0.0003,0.07078027725219727,676,0.0001554280329401081,0.0019087904574917047,0.4816528558731079,137.81
23068672,2286,10087,88,1.2701803174614907,0.2,1.48250150680542,-0.12317011505365372,0.0048785596,-12.277677603065968,0.0003,0.0712122917175293,684,-0.00012952515862707514,0.0020047297120981966,0.5776697099208832,148.47
23330816,2314,10080,89,1.122321143746376,0.2,1.4849011898040771,-0.12249992042779922,0.007858487,-12.27963973581791,0.0003,0.07649946212768555,692,0.00022807682944403496,0.0019014796780538745,0.5341702997684479,130.49
23592960,2341,10077,90,1.0030578880012035,0.2,1.4923970699310303,-0.11941763758659363,0.007855501,-12.295446701347828,0.0003,0.07606029510498047,700,-7.731501227681292e-05,0.0020911781712129596,0.4783779978752136,122.57
23855104,2368,10072,91,1.1644252169132232,0.2,1.4974254369735718,-0.1233777403831482,0.00657605,-12.307580448687077,0.0003,0.07393407821655273,708,-4.186504384051659e-05,0.0025446879544688272,0.46375495195388794,140.24
24117248,2395,10068,92,1.0411599949002266,0.2,1.5060843229293823,-0.12437944114208221,0.005889152,-12.33039776980877,0.0003,0.07646036148071289,716,0.00046407039644691395,0.0018996978706127265,0.47243380546569824,131.26
24379392,2422,10064,93,1.1437072248756885,0.2,1.5117825269699097,-0.12342420965433121,0.005926761,-12.351022094488144,0.0003,0.07192277908325195,724,-0.0001889062568807276,0.002221559262579831,0.4738242030143738,135.32
24641536,2449,10060,94,1.1752898095548152,0.2,1.5186256170272827,-0.12468420714139938,0.0064623416,-12.37487854808569,0.0003,0.0812997817993164,732,-0.0002803150855470449,0.002541211219977413,0.48701155185699463,134.92
24903680,2476,10055,95,1.0663558765500785,0.2,1.523955225944519,-0.1237272247672081,0.006583832,-12.385184407234192,0.0003,0.07577276229858398,740,-9.19359872568748e-05,0.0019988934209322906,0.5135778784751892,128.35
25165824,2503,10051,96,1.2557498463988304,0.2,1.528817057609558,-0.12395524233579636,0.0063531436,-12.397924959659576,0.0003,0.07715415954589844,748,0.00038405790610340773,0.0022268201091719675,0.45327329635620117,151.34
25427968,2530,10048,97,1.3002004082500935,0.2,1.5340219736099243,-0.12603123486042023,0.005941241,-12.413912668824196,0.0003,0.07375955581665039,756,-5.5436612910853e-05,0.0019740184070542455,0.6428362429141998,148.44
25690112,2558,10043,98,1.3879923740029334,0.2,1.5387173891067505,-0.12288615107536316,0.0074968934,-12.423440396785736,0.0003,0.08344078063964844,764,0.0003414611046537175,0.002265664567858039,0.5298954546451569,152.85
25952256,2584,10040,99,1.3306745994091034,0.2,1.5424816608428955,-0.12531492114067078,0.007651553,-12.42724909633398,0.0003,0.08420610427856445,772,0.0004999111824872671,0.001864363242930267,0.5443457663059235,155.14
26214400,2612,10035,100,1.2865321420878173,0.2,1.5469861030578613,-0.1260831207036972,0.0056438893,-12.434023834764957,0.0003,0.06490802764892578,780,-1.7449132428737357e-05,0.0016439382816315629,0.5001869201660156,146.14
26476544,2639,10031,101,1.4149252044409513,0.2,1.5502865314483643,-0.126582533121109,0.006269113,-12.43852511048317,0.0003,0.07677555084228516,788,-6.67590493321768e-05,0.0018017214179053553,0.489152193069458,157.85
26738688,2666,10025,102,1.5123175494372845,0.2,1.5561498403549194,-0.12465807795524597,0.006491402,-12.448079258203506,0.0003,0.07784700393676758,796,0.0001668272725510178,0.001988209782211925,0.5098812580108643,166.07
27000832,2693,10022,103,1.2875394682213663,0.2,1.5635583400726318,-0.12493696063756943,0.007081227,-12.46518836170435,0.0003,0.08654308319091797,804,0.00043679785267158877,0.0023285740790015552,0.5124208331108093,148.62
27262976,2721,10018,104,1.3600440714508295,0.2,1.568476915359497,-0.12618432939052582,0.0066885315,-12.477886624634266,0.0003,0.07946014404296875,812,-0.0003673905271170952,0.0021617341981254867,0.5780855715274811,151.9
27525120,2748,10013,105,1.3372667897492647,0.2,1.5730507373809814,-0.12453845143318176,0.0066106897,-12.486616268754005,0.0003,0.07727289199829102,820,5.086824194222572e-05,0.0023725677356196684,0.6138063371181488,152.16
27787264,2776,10008,106,1.176391457952559,0.2,1.577227234840393,-0.12535028159618378,0.007059195,-12.491777047514915,0.0003,0.08179712295532227,828,0.00011921897748834454,0.002038632003859675,0.5149303078651428,134.55
28049408,2803,10004,107,1.5999707605689764,0.2,1.578899621963501,-0.1248646229505539,0.007310191,-12.492077820003033,0.0003,0.0691080093383789,836,-0.00017004506162265898,0.001996604918531375,0.5423834919929504,172.79
28311552,2830,10000,108,1.3107952339947224,0.2,1.585232138633728,-0.1269570291042328,0.0063436087,-12.501522846519947,0.0003,0.0701904296875,844,0.0003334550701765693,0.0015583947078994242,0.548721045255661,144.09
28573696,2858,9995,109,1.346589290201664,0.2,1.5894598960876465,-0.122956283390522,0.0067869886,-12.513337105512619,0.0003,0.08442068099975586,852,0.0007125829301912745,0.0017287460577790625,0.5499067902565002,146.32
28835840,2885,9992,110,1.468217814564705,0.2,1.5933001041412354,-0.12544703483581543,0.0066517503,-12.519876591861248,0.0003,0.07890176773071289,860,0.0004944538341078442,0.0016284774583255057,0.5418214797973633,166.09
29097984,2913,9986,111,1.463587140738964,0.2,1.5916310548782349,-0.12504297494888306,0.007398624,-12.507435955107212,0.0003,0.08098173141479492,868,-0.00015702542168583022,0.0014338433757075109,0.5713167786598206,156.23
29360128,2940,9983,112,1.3808068680763244,0.2,1.5928609371185303,-0.12257735431194305,0.0073606702,-12.497507430613041,0.0003,0.07591438293457031,876,0.00039627446903978125,0.0014640655599578167,0.5689243078231812,151.07
29622272,2968,9978,113,1.7157666181772948,0.2,1.5950886011123657,-0.1246681958436966,0.0068460484,-12.498101860284805,0.0003,0.0873570442199707,884,0.0007364847365352034,0.0015422935884998878,0.559294730424881,184.18
29884416,2995,9975,114,1.4840304229408503,0.2,1.6026166677474976,-0.1265372931957245,0.0071560745,-12.509695403277874,0.0003,0.08582639694213867,892,-6.1115688367863186e-06,0.0021115967092555366,0.5635025799274445,154.52
30146560,3023,9970,115,1.390730110257864,0.2,1.605648159980774,-0.12432777136564255,0.0071036313,-12.517763309180737,0.0003,0.0889744758605957,900,0.000664296663217101,0.0019426243616180727,0.6159274876117706,151.33
30408704,3051,9965,116,1.4368298761546612,0.2,1.605262279510498,-0.12638120353221893,0.0067951484,-12.509016692638397,0.0003,0.07103872299194336,908,-0.0006132754042482702,0.0019510379133862443,0.6110327243804932,151.67
30670848,3078,9961,117,1.493127876445651,0.2,1.6142926216125488,-0.12523043155670166,0.0066245794,-12.517755351960659,0.0003,0.07914352416992188,916,0.00013215555281931302,0.002204150475336064,0.5529505014419556,154.57
30932992,3106,9957,118,1.5453920795768499,0.2,1.6150044202804565,-0.12486632168292999,0.0069095986,-12.517871767282486,0.0003,0.07626819610595703,924,-8.65226584210177e-05,0.0016828848420118447,0.5580758154392242,166.41
31195136,3134,9953,119,1.5106381387636065,0.2,1.6210319995880127,-0.12723039090633392,0.0067245746,-12.52706715464592,0.0003,0.0742635726928711,932,-0.00012054758667545684,0.002217313557594025,0.5250484049320221,162.32
31457280,3161,9949,120,1.3157846593856812,0.2,1.6264232397079468,-0.12664006650447845,0.0060037733,-12.538713671267033,0.0003,0.0857229232788086,940,0.0007894600830695708,0.0015961056278683827,0.5992479920387268,149.05
31719424,3188,9946,121,1.5829013302922248,0.2,1.6311657428741455,-0.12747696042060852,0.0075779688,-12.548761256039143,0.0003,0.09750604629516602,948,0.0007213962235255167,0.003209969820090919,0.5615847706794739,172.47
31981568,3216,9942,122,1.464812912195921,0.2,1.6336606740951538,-0.12482167780399323,0.007019397,-12.55687166750431,0.0003,0.08375215530395508,956,0.0004429016416906961,0.0016575418785578222,0.5894060134887695,158.2
32243712,3244,9938,123,1.5529696533083917,0.2,1.637488842010498,-0.12437213212251663,0.008513155,-12.558120623230934,0.0003,0.08369255065917969,964,9.166485142486636e-06,0.0017833221536420751,0.5740084052085876,162.82
32505856,3271,9935,124,1.5430939131602646,0.2,1.6435725688934326,-0.12491380423307419,0.0071631377,-12.573028773069382,0.0003,0.08297300338745117,972,0.00037848254532946157,0.0020076868759133504,0.6285345554351807,160.03
32768000,3299,9931,125,1.631586429029703,0.2,1.646978497505188,-0.12595543265342712,0.0076834625,-12.579984113574028,0.0003,0.09098100662231445,980,0.00041782507605603314,0.0020850238352068118,0.5674473345279694,172.84
33030144,3327,9926,126,1.6627375326305627,0.2,1.6526837348937988,-0.12826409935951233,0.007609337,-12.590404003858566,0.0003,0.08726930618286133,988,0.0004073861614415364,0.0019006839393114205,0.5878568589687347,172.3
