time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/approx_kl,train/std,train/loss,train/clip_range,train/policy_gradient_loss,train/n_updates,train/value_loss,train/entropy_loss,train/learning_rate,train/explained_variance,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean
12582912,10534,1194,48,0.0065781022,1.3926737308502197,-0.12176991254091263,0.2,-0.0005823591122862126,376,0.002918203395893215,-12.16388737410307,0.0003,0.468967080116272,0.06828498840332031,0.8969819669425487,129.87
12845056,10518,1221,49,0.005987848,1.404778242111206,-0.12244581431150436,0.2,-0.0001434898827028519,384,0.004480316058106837,-12.210460364818573,0.0003,0.41406530141830444,0.06740045547485352,0.8928216068446636,133.6
13107200,10504,1247,50,0.0049438514,1.4127862453460693,-0.12395448237657547,0.2,-0.0009824660774029326,392,0.0037777575562358834,-12.253905534744263,0.0003,0.5210305750370026,0.05608654022216797,0.9933548075705767,135.81
13369344,10485,1274,51,0.0064622164,1.4279464483261108,-0.12450367212295532,0.2,-0.0009845853442129737,400,0.0044620406843023375,-12.309507094323635,0.0003,0.5301265716552734,0.06601905822753906,0.873989702090621,129.69
13631488,10473,1301,52,0.005193106,1.4354485273361206,-0.12581442296504974,0.2,-0.0008691337898198981,408,0.003249469382353709,-12.353515475988388,0.0003,0.4823090434074402,0.05820608139038086,0.9368511447310448,128.71
13893632,10457,1328,53,0.0052538784,1.443356990814209,-0.1254109889268875,0.2,-0.0004043702092531021,416,0.003790079768805299,-12.38702430576086,0.0003,0.46115678548812866,0.0628957748413086,0.9068786077201366,128.79
14155776,10446,1355,54,0.0063108243,1.4509693384170532,-0.12476111948490143,0.2,-0.0009648903437664558,424,0.0028179455730423797,-12.418667651712894,0.0003,0.49833357334136963,0.05787181854248047,0.8817198003083467,131.35
14417920,10428,1382,55,0.0059963427,1.4595891237258911,-0.12490449845790863,0.2,-0.0007008631778262497,432,0.003416808722249698,-12.450511701405048,0.0003,0.3560190200805664,0.061817169189453125,0.9088060401380063,135.97
14680064,10417,1409,56,0.006025195,1.468647837638855,-0.12475911527872086,0.2,-0.0002366944293044071,440,0.003383192848559702,-12.487180024385452,0.0003,0.43254345655441284,0.061037540435791016,0.9150677818059921,130.07
14942208,10404,1436,57,0.0067385565,1.4776252508163452,-0.12480854243040085,0.2,-0.0005534270562748134,448,0.003806236563832499,-12.522248424589634,0.0003,0.4964436888694763,0.06635808944702148,0.8620973543077707,115.79
15204352,10394,1462,58,0.0056011532,1.4850728511810303,-0.12684915959835052,0.2,-0.00037178946968197124,456,0.0028032656664436217,-12.556140296161175,0.0003,0.4572012424468994,0.056475162506103516,0.8979208666831255,126.88
15466496,10383,1489,59,0.006127321,1.4936463832855225,-0.1261388212442398,0.2,-0.0005448932283798058,464,0.004044748886371963,-12.584619477391243,0.0003,0.4227997660636902,0.06502008438110352,0.9979374212771654,135.96
15728640,10371,1516,60,0.008283984,1.5061278343200684,-0.1261320412158966,0.2,-0.00014713959490109119,472,0.004897153679848998,-12.631402015686035,0.0003,0.5905319154262543,0.07289743423461914,1.012236560061574,131.15
15990784,10362,1543,61,0.007548604,1.51313054561615,-0.12608109414577484,0.2,-0.0005808319228890468,480,0.0037509519133891445,-12.664720632135868,0.0003,0.3276771903038025,0.0691533088684082,0.9338801158964634,134.63
16252928,10350,1570,62,0.0065700486,1.5247830152511597,-0.1269965022802353,0.2,-0.0006045698942216404,488,0.004361908166174544,-12.705937534570694,0.0003,0.39485877752304077,0.07270050048828125,1.0527722208201886,145.28
