rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/clip_fraction,train/loss,train/explained_variance,train/std,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/entropy_loss,train/clip_range
151.13,14727,0.9566496716439724,17825792,34,1210,0.0762319564819336,-0.12584003806114197,0.40105438232421875,1.4338469505310059,264,0.0003,-0.0003169032386267645,0.0071424926,0.012738429590172018,-12.406186990439892,0.2
154.26,14684,1.0338892066478729,18350080,35,1249,0.09055876731872559,-0.12348685413599014,0.4187699556350708,1.454790472984314,272,0.0003,-0.0003102064065387822,0.008844141,0.015085960912983865,-12.504603929817677,0.2
141.86,14640,0.9480705280601979,18874368,36,1289,0.08623099327087402,-0.12582747638225555,0.5360579788684845,1.477700114250183,280,0.0003,-5.492094578585238e-05,0.007377318,0.020259352368157124,-12.604647420346737,0.2
140.01,14599,0.9459985940158367,19398656,37,1328,0.08354043960571289,-0.12630343437194824,0.5497557520866394,1.5012009143829346,288,0.0003,-0.0001570744552736869,0.007664268,0.015697545084549347,-12.71807499974966,0.2
142.21,14555,0.9072071965038776,19922944,38,1368,0.09289336204528809,-0.1267712563276291,0.6189337074756622,1.5275007486343384,296,0.0003,-0.00023389592502098822,0.008902381,0.015370902405265952,-12.832122914493084,0.2
144.83,14515,1.1490833716094493,20447232,39,1408,0.09390783309936523,-0.12881769239902496,0.6089890897274017,1.5535088777542114,304,0.0003,-0.00043252511954960937,0.0088154,0.02102206435665721,-12.94740978255868,0.2
124.13,14477,0.8608207076042891,20971520,40,1448,0.09293746948242188,-0.12933886051177979,0.6173430979251862,1.5815484523773193,312,0.0003,-0.00016024913770706917,0.007824,0.02658066309231799,-13.068608954548836,0.2
122.27,14440,0.7854204474389553,21495808,41,1488,0.08613395690917969,-0.13037587702274323,0.5865164995193481,1.6128588914871216,320,0.0003,-0.000487701039219246,0.0083082,0.020185806475637946,-13.200073439627886,0.2
132.72,14400,0.8186166994273663,22020096,42,1529,0.09927725791931152,-0.13094115257263184,0.5513925850391388,1.6426901817321777,328,0.0003,3.9503613606939325e-05,0.008246852,0.024694173313037027,-13.329729802906513,0.2
117.0,14363,0.754562570899725,22544384,43,1569,0.09483742713928223,-0.13236436247825623,0.6907726526260376,1.6712898015975952,336,0.0003,-9.173513808491407e-05,0.008966107,0.02472798784947372,-13.448963604867458,0.2
140.07,14329,0.805760607868433,23068672,44,1609,0.09922146797180176,-0.13295944035053253,0.510745108127594,1.7017757892608643,344,0.0003,-0.00016598226716268982,0.0087216,0.02430205826749443,-13.57426031678915,0.2
145.62,14294,1.0037789150327443,23592960,45,1650,0.09402918815612793,-0.1327493041753769,0.562478631734848,1.7299314737319946,352,0.0003,-0.0002995786489918828,0.0075308736,0.01921712398325326,-13.692363422363997,0.2
124.61,14262,0.7655015795677901,24117248,46,1690,0.10790824890136719,-0.13594527542591095,0.545063853263855,1.7555450201034546,360,0.0003,7.41116457447788e-05,0.008936157,0.02112388262685272,-13.796554788947105,0.2
137.64,14227,0.8159843011945486,24641536,47,1731,0.10439395904541016,-0.13699325919151306,0.5297083556652069,1.7872849702835083,368,0.0003,-0.000137650010174184,0.009666904,0.017993528781516943,-13.911437425762415,0.2
145.8,14193,1.0367005524039268,25165824,48,1772,0.10814380645751953,-0.13786114752292633,0.5692698359489441,1.8213387727737427,376,0.0003,-4.375594426164753e-05,0.009895516,0.025286915257311193,-14.036517526954412,0.2
139.71,14162,0.9384839780256152,25690112,49,1813,0.10097146034240723,-0.13789427280426025,0.6659179925918579,1.8538106679916382,384,0.0003,7.907729786893469e-05,0.008576974,0.027007211170712253,-14.15938937664032,0.2
120.94,14133,0.7430588453263044,26214400,50,1854,0.10017657279968262,-0.1421363651752472,0.6946748197078705,1.8841629028320312,392,0.0003,-0.00016535252257199318,0.008257413,0.019285066224256298,-14.280758704990149,0.2
140.71,14103,0.9007604521512985,26738688,51,1895,0.10867023468017578,-0.14211934804916382,0.5197969377040863,1.9199105501174927,400,0.0003,-0.00016798697811282182,0.00946564,0.021616958332742797,-14.405353046953678,0.2
125.19,14077,0.7412932627275586,27262976,52,1936,0.10934829711914062,-0.1436367928981781,0.6037203073501587,1.9567217826843262,408,0.0003,0.00010985422295561875,0.009534159,0.021339547263778513,-14.535579539835453,0.2
