time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/loss,train/clip_range,train/approx_kl,train/std,train/n_updates,train/clip_fraction,train/learning_rate,train/explained_variance,train/value_loss,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
10485760,10564,40,992,-0.0009284320922233746,-0.11498061567544937,0.2,0.0058861664,1.2276206016540527,312,0.057795047760009766,0.0003,0.27619457244873047,0.0018541952940722695,-11.30680188536644,137.9,0.9723793831467629
10747904,10545,41,1019,-0.0006461330672209442,-0.11409669369459152,0.2,0.0060750777,1.2329208850860596,320,0.059186458587646484,0.0003,0.3200526237487793,0.001662078372646647,-11.33594512194395,129.3,0.847459853887558
11010048,10526,42,1045,-0.0009057314523488458,-0.11462205648422241,0.2,0.005068208,1.2395330667495728,328,0.0571751594543457,0.0003,0.2777886390686035,0.0018871091269829776,-11.36764769256115,125.97,0.8450349338934757
11272192,10508,43,1072,-0.0010739453568930912,-0.11716735363006592,0.2,0.0055155903,1.2470101118087769,336,0.058924198150634766,0.0003,0.3044605255126953,0.0023033437219055486,-11.40420925617218,135.29,0.9213545562326908
11534336,10489,44,1099,-0.0011211011683371908,-0.11765819042921066,0.2,0.00557186,1.2546958923339844,344,0.062079429626464844,0.0003,0.29178595542907715,0.0020394849889271427,-11.440996386110783,125.93,0.8852476774901151
11796480,10475,45,1126,-0.00014945254451959045,-0.1146506667137146,0.2,0.0052512237,1.2592705488204956,352,0.05847024917602539,0.0003,0.5439186096191406,0.0015768978983032866,-11.468422584235668,123.86,0.8038060023635626
12058624,10456,46,1153,-9.389919705427019e-05,-0.11595877259969711,0.2,0.0056513743,1.2638062238693237,360,0.05791425704956055,0.0003,0.34042906761169434,0.0015769967376400018,-11.489855028688908,117.8,0.7678261882811784
12320768,10443,47,1179,-0.0010363994547333277,-0.11733593046665192,0.2,0.0058339904,1.2663377523422241,368,0.06040477752685547,0.0003,0.4370228052139282,0.0013142996804162976,-11.502316504716873,131.57,0.9048636284470558
12582912,10426,48,1206,-0.0005757371563959168,-0.11595938354730606,0.2,0.007024208,1.272368311882019,376,0.0703120231628418,0.0003,0.33834004402160645,0.00201544576066226,-11.527596235275269,131.97,0.9489133045077324
12845056,10412,49,1233,-0.0008981596870398789,-0.11655434221029282,0.2,0.0053905323,1.2766716480255127,384,0.0596308708190918,0.0003,0.40223872661590576,0.0016776253642092342,-11.549400471150875,145.8,1.0375878052413463
13107200,10399,50,1260,-0.0010364577174186707,-0.11559173464775085,0.2,0.0056219026,1.2816509008407593,392,0.05522298812866211,0.0003,0.41363781690597534,0.0016149901593962568,-11.56944127380848,130.58,0.9087033915519714
13369344,10383,51,1287,-0.0005285449358325423,-0.11586643010377884,0.2,0.0053736204,1.2856863737106323,400,0.05836915969848633,0.0003,0.4627843499183655,0.0013297151090227999,-11.588013902306557,132.78,0.9462972588837146
13631488,10370,52,1314,-0.0006997548052822822,-0.11885995417833328,0.2,0.0052037057,1.2906358242034912,408,0.057413578033447266,0.0003,0.42758709192276,0.0015082982854437432,-11.610259167850018,121.52,0.8438130659610033
13893632,10356,53,1341,-0.0007201272028396488,-0.11634474992752075,0.2,0.005845859,1.295050024986267,416,0.05581808090209961,0.0003,0.457472026348114,0.001405211573910492,-11.626764081418514,120.2,0.8851684956252575
14155776,10343,54,1368,-0.0006728321586706443,-0.11769892275333405,0.2,0.006052742,1.2997373342514038,424,0.059751033782958984,0.0003,0.3893921375274658,0.0020225223724992247,-11.6473723128438,131.59,0.9578715470433236
14417920,10329,55,1395,-0.001194768084133102,-0.1173577532172203,0.2,0.0060776975,1.3042714595794678,432,0.06235218048095703,0.0003,0.35341590642929077,0.0020019125531689497,-11.665463224053383,126.07,0.9561224454641342
14680064,10316,56,1422,-0.0007964615874698211,-0.11603435128927231,0.2,0.005930598,1.3110431432724,440,0.058997154235839844,0.0003,0.3828851580619812,0.002127639607351739,-11.69145280867815,135.05,1.0102854334563016
14942208,10302,57,1450,0.0013788711767119821,-0.11755461990833282,0.2,0.0069137784,1.3163084983825684,448,0.07489919662475586,0.0003,0.38453441858291626,0.0017554686401126673,-11.716233976185322,143.14,1.0840216227248312
15204352,10294,58,1476,-0.00043996817294100765,-0.11654948443174362,0.2,0.005857462,1.3206746578216553,456,0.06395339965820312,0.0003,0.4013407826423645,0.001850231889875431,-11.736075311899185,131.51,1.023845536224544
15466496,10284,59,1503,-0.001013486675446984,-0.11868147552013397,0.2,0.004777003,1.3228899240493774,464,0.052294254302978516,0.0003,0.48009997606277466,0.0013201859555920237,-11.743601270020008,122.02,0.9607929581403732
15728640,10274,60,1530,-0.0005871931639376271,-0.11985667049884796,0.2,0.0054951757,1.3275593519210815,472,0.05469799041748047,0.0003,0.42281800508499146,0.0016950494000411709,-11.75722175091505,140.69,1.1070355363935231
15990784,10265,61,1557,-0.00039331640937234624,-0.11832485347986221,0.2,0.0061836233,1.3304487466812134,480,0.05561208724975586,0.0003,0.4336247444152832,0.0016108856580103748,-11.767798639833927,128.63,0.9871716516464949
16252928,10254,62,1584,-0.0006359263984450081,-0.11875776201486588,0.2,0.005860099,1.3361927270889282,488,0.06881141662597656,0.0003,0.41538798809051514,0.0019528588372850209,-11.789311327040195,130.35,1.0066319160163402
16515072,10245,63,1611,-0.0002755512318799447,-0.11750324815511703,0.2,0.006342124,1.3410142660140991,496,0.06399059295654297,0.0003,0.39639812707901,0.0019045560620725155,-11.806170649826527,122.97,0.9637384283542633
