time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/n_updates,train/clip_range,train/clip_fraction,train/std,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/explained_variance,train/loss,train/learning_rate,train/approx_kl,train/entropy_loss,train/policy_gradient_loss
14139,500,7077888,27,208,0.2,0.06707382202148438,1.1936081647872925,0.0026139618166780565,1.0547446011006831,164.12,0.3505675196647644,-0.11402193456888199,0.0003,0.006006358,-11.140901148319244,-0.0012708104227385775
14088,520,7340032,28,216,0.2,0.06794166564941406,1.2033295631408691,0.0044662748423434095,1.05339281052351,148.45,0.30916184186935425,-0.11347856372594833,0.0003,0.006663493,-11.18852461874485,-0.0008199855451493931
14038,541,7602176,29,224,0.2,0.06409645080566406,1.2113745212554932,0.003155235657686717,1.0684312289953233,167.74,0.38488566875457764,-0.11435797810554504,0.0003,0.005380979,-11.236346788704395,-0.0007565098712802865
13990,562,7864320,30,232,0.2,0.06108713150024414,1.221099853515625,0.00441632823094551,0.9930419880896807,155.42,0.38434654474258423,-0.11450111120939255,0.0003,0.0057229623,-11.285066954791546,-0.000744779591968836
13947,582,8126464,31,240,0.2,0.062392234802246094,1.2282613515853882,0.003998339972895337,0.9522064360650256,150.68,0.40820276737213135,-0.11360245198011398,0.0003,0.0054000476,-11.329077251255512,-0.0010883377835853025
13903,603,8388608,32,248,0.2,0.06660604476928711,1.2361202239990234,0.003214537709936849,0.9247560445964337,142.2,0.3689844608306885,-0.11587539315223694,0.0003,0.0056719417,-11.367937043309212,-0.0008206100164898089
13863,624,8650752,33,256,0.2,0.059461116790771484,1.2422194480895996,0.003982020190960611,1.0854214026685804,156.1,0.38060086965560913,-0.11477227509021759,0.0003,0.0052009667,-11.401812382042408,-0.0006915536032465752
13822,644,8912896,34,264,0.2,0.06566286087036133,1.2491315603256226,0.003912015841706307,1.0035131517256377,154.13,0.414537250995636,-0.1150740459561348,0.0003,0.005686569,-11.434543289244175,-0.0006177250879773055
13786,665,9175040,35,272,0.2,0.06415653228759766,1.2585557699203491,0.004525486670900136,1.1097815135121345,154.68,0.42824697494506836,-0.11572360247373581,0.0003,0.0052574286,-11.481781497597694,-0.0004993877887500275
13750,686,9437184,36,280,0.2,0.061362266540527344,1.2678906917572021,0.004561146977721364,0.8827266965061427,140.56,0.4322414994239807,-0.11615103483200073,0.0003,0.0057193195,-11.528816550970078,-0.0006783655285289569
13715,707,9699328,37,288,0.2,0.05574798583984375,1.2755229473114014,0.003655797938336036,1.038642459064722,150.31,0.4421932101249695,-0.11629687994718552,0.0003,0.0061506093,-11.569831691682339,-0.0006372053053382842
13682,728,9961472,38,296,0.2,0.0554661750793457,1.2859437465667725,0.004364173737485544,1.0131543937325478,141.63,0.6367997825145721,-0.11746621876955032,0.0003,0.0052383137,-11.618992023169994,-0.0003670717155728198
13651,748,10223616,39,304,0.2,0.06682968139648438,1.295356035232544,0.0030900333003955893,0.9062209675461054,141.57,0.47840553522109985,-0.11743919551372528,0.0003,0.007889487,-11.668043032288551,-0.0005716184396078461
13622,769,10485760,40,312,0.2,0.06604433059692383,1.3031033277511597,0.003752756972971838,1.0838573145866395,155.72,0.3825342059135437,-0.11832192540168762,0.0003,0.0058622146,-11.706469766795635,-0.0007539591301792825
13593,790,10747904,41,320,0.2,0.05070924758911133,1.3102211952209473,0.003939022732083686,0.9769393770396709,154.74,0.3853434920310974,-0.11883031576871872,0.0003,0.0055090245,-11.739422634243965,-0.00047450595866393996
13564,811,11010048,42,328,0.2,0.05826568603515625,1.3181991577148438,0.0035532519068510737,0.9625283934175968,130.31,0.43681102991104126,-0.11795606464147568,0.0003,0.0051003625,-11.77343164384365,-0.0005012538874780148
13538,832,11272192,43,336,0.2,0.06120634078979492,1.3264615535736084,0.003951073325879406,0.9151107623055578,136.22,0.5133858919143677,-0.11805083602666855,0.0003,0.006402478,-11.812683373689651,-0.0007325135384235182
13511,853,11534336,44,344,0.2,0.05392599105834961,1.3321874141693115,0.003666355607492733,1.0197435197979212,142.07,0.387742280960083,-0.12062034755945206,0.0003,0.006039909,-11.843648806214333,-0.0007292482332559302
13485,874,11796480,45,352,0.2,0.059082984924316406,1.3376877307891846,0.004339467956015142,1.0823166693747044,147.15,0.5513686239719391,-0.11949410289525986,0.0003,0.00499262,-11.866367161273956,-0.000495815072554251
13460,895,12058624,46,360,0.2,0.06557130813598633,1.3516579866409302,0.004650526645491482,0.8720445485413074,126.77,0.5710341036319733,-0.11987264454364777,0.0003,0.0063631916,-11.915379650890827,-0.00035824245287585654
13437,916,12320768,47,368,0.2,0.06832742691040039,1.3609004020690918,0.004137192374400911,0.9645384069532156,137.34,0.37388402223587036,-0.1208479180932045,0.0003,0.0059779054,-11.96866200864315,-0.0005613413691207825
13414,937,12582912,48,376,0.2,0.06895160675048828,1.3697327375411987,0.0041241791604988975,1.0634806569665671,156.87,0.3667512536048889,-0.12183353304862976,0.0003,0.0060181743,-12.0105040371418,-0.0004606749284903344
13389,959,12845056,49,384,0.2,0.0686635971069336,1.3790115118026733,0.004618666413080064,1.1269192329794169,151.61,0.5704381465911865,-0.12315627932548523,0.0003,0.0063414844,-12.053398482501507,-0.000671137348490447
13366,980,13107200,50,392,0.2,0.0605010986328125,1.3866779804229736,0.0033715528898028424,1.1585086550563575,152.2,0.4125402569770813,-0.12159483134746552,0.0003,0.0052724625,-12.089623659849167,-0.0004859451178162999
13344,1001,13369344,51,400,0.2,0.07105827331542969,1.4002392292022705,0.00509415826491022,1.1968871388584374,164.67,0.6965915858745575,-0.12274938821792603,0.0003,0.007351797,-12.14045775681734,-0.0006014822211000137
13323,1023,13631488,52,408,0.2,0.07375574111938477,1.4110678434371948,0.003718496718647657,1.179914251640439,150.31,0.6140029728412628,-0.12040828913450241,0.0003,0.0077782907,-12.192751735448837,-0.0010381929023424163
13303,1044,13893632,53,416,0.2,0.06461429595947266,1.4190298318862915,0.004667464363592444,1.0650398500263691,151.23,0.408711314201355,-0.12248233705759048,0.0003,0.00654424,-12.23050108551979,-0.0005526961081159243
13284,1065,14155776,54,424,0.2,0.0638117790222168,1.4291702508926392,0.004443178389919922,1.031385287940502,143.5,0.5468557178974152,-0.11863823235034943,0.0003,0.0063614724,-12.271230980753899,0.0007637252983840881
13263,1087,14417920,55,432,0.2,0.06747055053710938,1.4393283128738403,0.0035154100569343427,0.9899093154445291,143.82,0.4603768587112427,-0.12489847093820572,0.0003,0.0071425703,-12.31201821565628,-0.0004130908500883379
