time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/value_loss,train/clip_fraction,train/std,train/entropy_loss,train/n_updates,train/approx_kl,train/loss,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean
98,2534,10135,25690112,0.0026136973084738622,0.06791334885817307,1.644081711769104,-12.89633714235746,759,0.014667118,-0.12718616425991058,0.4797321557998657,0.0006701114941209268,0.0003,0.2,139.32,1.1768402869999408
99,2561,10132,25952256,0.0028964999028175953,0.08489322662353516,1.6486153602600098,-12.903619073331356,767,0.006928331,-0.12802258133888245,0.3784130811691284,-0.00041925163623091066,0.0003,0.2,158.12,1.3827472241222858
100,2588,10128,26214400,0.003533244685968384,0.09645891189575195,1.6581801176071167,-12.927210874855518,775,0.006671245,-0.12995876371860504,0.38231950998306274,4.9402112836105516e-05,0.0003,0.2,152.79,1.2896157267317176
101,2615,10123,26476544,0.002805522188282339,0.08697271347045898,1.6656004190444946,-12.952743105590343,783,0.0067614447,-0.13212950527668,0.42904233932495117,-0.00017438647228118498,0.0003,0.2,141.87,1.2399955310672521
102,2642,10119,26738688,0.002177480065256532,0.08180427551269531,1.673492193222046,-12.973664417862892,791,0.0070881983,-0.13047319650650024,0.46846646070480347,-3.7164696095715044e-05,0.0003,0.2,147.38,1.2358491422329099
103,2669,10113,27000832,0.0028277057581362897,0.09421110153198242,1.6801480054855347,-12.990757301449776,799,0.006127366,-0.132619708776474,0.42878466844558716,6.234111060621217e-05,0.0003,0.2,157.09,1.322479555234313
104,2696,10110,27262976,0.002597787590275402,0.08107233047485352,1.686721682548523,-13.011319875717163,807,0.006764177,-0.12848949432373047,0.47939276695251465,-0.00028924705657118466,0.0003,0.2,162.08,1.3937152268202044
105,2723,10105,27525120,0.003254104716688744,0.08592796325683594,1.692531704902649,-13.026539370417595,815,0.0062489104,-0.1320042759180069,0.4272546172142029,-0.0004185426541880588,0.0003,0.2,147.69,1.2378480779379606
106,2750,10102,27787264,0.0032735578452047775,0.08710575103759766,1.7036118507385254,-13.054936982691288,823,0.007718414,-0.13225187361240387,0.4016011357307434,-7.642255195605685e-05,0.0003,0.2,149.11,1.3529339966922997
107,2778,10095,28049408,0.0035516337120498065,0.08737468719482422,1.711224913597107,-13.08032251149416,831,0.0074551236,-0.1300630122423172,0.3966328501701355,-0.0004684717594045651,0.0003,0.2,148.23,1.3202982268482446
108,2805,10093,28311552,0.0019822295389531064,0.0847768783569336,1.716522216796875,-13.094290263950825,839,0.0068730055,-0.1340826153755188,0.5556040406227112,-0.0002930215828200744,0.0003,0.2,157.07,1.390086509361863
109,2832,10088,28573696,0.002579242999672715,0.0934596061706543,1.72211754322052,-13.102012649178505,847,0.008117676,-0.13091851770877838,0.4405640959739685,-0.00012135722045059083,0.0003,0.2,140.15,1.2272560595721007
