time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/explained_variance,train/n_updates,train/loss,train/entropy_loss,train/std,train/clip_range,train/clip_fraction,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
1036,10624,42,11010048,0.35645925998687744,328,-0.11582960188388824,-11.425131939351559,1.2540233135223389,0.2,0.0608673095703125,0.0003,0.0017683841460893746,-0.0008080289476311009,0.005200359,1.0616617511212825,153.03
1062,10606,43,11272192,0.27834951877593994,336,-0.11552055925130844,-11.443735219538212,1.2588165998458862,0.2,0.05303764343261719,0.0003,0.001952031152541167,-0.0007822161924195825,0.004919357,1.0263567928969861,140.51
1089,10586,44,11534336,0.3247670531272888,344,-0.11558149755001068,-11.457964539527893,1.2613422870635986,0.2,0.05805492401123047,0.0003,0.00217857427742274,-0.0007919365853013005,0.0054387096,1.1385134860873223,150.71
1116,10568,45,11796480,0.4065088629722595,352,-0.1154179647564888,-11.4712093770504,1.2652767896652222,0.2,0.05868053436279297,0.0003,0.0014150936831356375,-0.0008947192804953374,0.005405113,1.0223595283925533,143.19
1142,10552,46,12058624,0.42221230268478394,360,-0.11628980189561844,-11.485494881868362,1.2693791389465332,0.2,0.0577702522277832,0.0003,0.0013190362096793251,-0.0009426979504496558,0.0056035877,1.0999113404750824,148.83
1169,10536,47,12320768,0.4346928000450134,368,-0.11509405821561813,-11.501665562391281,1.2733173370361328,0.2,0.05717802047729492,0.0003,0.0013004347811147454,-0.00046682735410286114,0.0057024574,1.0495250581204891,140.2
1196,10519,48,12582912,0.4478398561477661,376,-0.1180119663476944,-11.502869680523872,1.2744699716567993,0.2,0.05596113204956055,0.0003,0.0013109052069921745,-0.0010347612846999255,0.0051943404,0.9589892279356718,133.63
1222,10505,49,12845056,0.4228745102882385,384,-0.1157049685716629,-11.513732261955738,1.2780256271362305,0.2,0.05958890914916992,0.0003,0.0014533382982335752,-0.0004984298311683233,0.0058353525,1.022259801402688,137.15
1249,10490,50,13107200,0.3914870619773865,392,-0.11678186058998108,-11.527185380458832,1.2820146083831787,0.2,0.05914497375488281,0.0003,0.0015720071987743722,-0.0006511326732834277,0.005831031,0.9594915337860584,124.01
1276,10476,51,13369344,0.3334331512451172,400,-0.11650140583515167,-11.55268955975771,1.2888588905334473,0.2,0.05937337875366211,0.0003,0.0017848739325927454,-0.0004657617878365272,0.0058578663,0.990964836627245,128.52
1302,10464,52,13631488,0.4121168255805969,408,-0.11787702143192291,-11.584749467670918,1.2960532903671265,0.2,0.06314897537231445,0.0003,0.002100627209074446,-0.000660823944144795,0.0060862736,0.9884520357102156,135.51
1329,10451,53,13893632,0.3958861827850342,416,-0.1174870952963829,-11.619215346872807,1.3050788640975952,0.2,0.0659480094909668,0.0003,0.0017289008746956824,-0.0005506392658389814,0.005111972,1.1865021827816964,152.16
1355,10440,54,14155776,0.4911143183708191,424,-0.11721286177635193,-11.645986177027225,1.3100969791412354,0.2,0.0622706413269043,0.0003,0.0020169956205791095,-0.0005419797148533689,0.006025539,1.1570595087856055,151.74
1382,10429,55,14417920,0.36167216300964355,432,-0.11885020136833191,-11.667051307857037,1.3164047002792358,0.2,0.06325769424438477,0.0003,0.0018370781472185627,3.4617110941326246e-05,0.0057649384,1.1812011422216893,152.91
1409,10418,56,14680064,0.3843752145767212,440,-0.11670727282762527,-11.683918453752995,1.321051001548767,0.2,0.055565834045410156,0.0003,0.0022055910148992552,-0.0005925300424678426,0.0058483267,1.134732623398304,148.78
1436,10404,57,14942208,0.447446346282959,448,-0.1182214692234993,-11.703603811562061,1.3267027139663696,0.2,0.05876493453979492,0.0003,0.002078640148283739,-0.0008805453458080592,0.005347756,1.0604462095350027,136.44
1462,10398,58,15204352,0.31254327297210693,456,-0.1180252879858017,-11.727514959871769,1.3327810764312744,0.2,0.0601348876953125,0.0003,0.0018478886022421648,-0.0006672645158687374,0.006842455,1.0812763753533363,140.4
1488,10390,59,15466496,0.37899500131607056,464,-0.12009459733963013,-11.746955655515194,1.3375784158706665,0.2,0.07223844528198242,0.0003,0.0017067189073713962,-0.0002948481633211486,0.0061354577,0.9801861324161291,130.82
1515,10378,60,15728640,0.44255679845809937,472,-0.11772731691598892,-11.75258044153452,1.33962881565094,0.2,0.061279296875,0.0003,0.0015491291815123986,-0.0006203507246027584,0.0064956592,1.0992940144985914,133.01
1542,10369,61,15990784,0.4468136429786682,480,-0.1167583018541336,-11.764972396194935,1.344233751296997,0.2,0.07376718521118164,0.0003,0.001669779202529753,-0.00012817654305763426,0.0062317727,1.0495835559815168,139.75
1568,10360,62,16252928,0.4666280746459961,488,-0.11909960210323334,-11.772455602884293,1.3474334478378296,0.2,0.07511281967163086,0.0003,0.0013880862825317308,2.1693566395697417e-05,0.0066843377,1.1741317477822304,148.26
1595,10351,63,16515072,0.44037413597106934,496,-0.11958274245262146,-11.777816854417324,1.34920072555542,0.2,0.06544780731201172,0.0003,0.0015765790749355801,-0.000837151579617057,0.0062417686,1.2544389641284943,153.82
1622,10341,64,16777216,0.4969673156738281,504,-0.1191546618938446,-11.780413195490837,1.3514735698699951,0.2,0.06740236282348633,0.0003,0.0013261969870654866,-0.00045671133239011397,0.0051511154,1.2314484359323978,154.2
1648,10333,65,17039360,0.5026192665100098,512,-0.12010786682367325,-11.780994340777397,1.353796124458313,0.2,0.06544160842895508,0.0003,0.0017113319408963434,-0.0006059702313905291,0.0054902174,1.1396511457115412,145.75
1676,10322,66,17301504,0.3670338988304138,520,-0.11971744149923325,-11.79651116579771,1.3591455221176147,0.2,0.064056396484375,0.0003,0.0013308838806551648,-0.0009976527612707287,0.0075188978,1.2518840704858303,149.62
1702,10315,67,17563648,0.4502009153366089,528,-0.12061362713575363,-11.80807051807642,1.3634554147720337,0.2,0.06191110610961914,0.0003,0.001641008196202165,-0.0007233925325635937,0.0058712456,1.1992908480763436,142.03
1729,10305,68,17825792,0.30985015630722046,536,-0.11867430806159973,-11.82275766134262,1.3679794073104858,0.2,0.0744633674621582,0.0003,0.002085356373754621,-0.0005961648694210453,0.006266073,1.3459892225265504,161.38
1756,10298,69,18087936,0.49811309576034546,544,-0.11919639259576797,-11.827684707939625,1.3707175254821777,0.2,0.07096481323242188,0.0003,0.0013690235409740126,-0.00022330271804094082,0.005940271,1.1511639560014009,142.94
1783,10290,70,18350080,0.3885767459869385,552,-0.1186971515417099,-11.828945748507977,1.371698260307312,0.2,0.07259416580200195,0.0003,0.00204928755738365,-2.9519923373300117e-05,0.005953934,1.2238644824177027,135.8
1810,10281,71,18612224,0.45719265937805176,560,-0.11807436496019363,-11.829396210610867,1.37350594997406,0.2,0.07077264785766602,0.0003,0.0015931064899632474,-0.00018555938368081115,0.0071417447,1.3442534957826138,164.6
1837,10274,72,18874368,0.48382794857025146,568,-0.11956538259983063,-11.832399874925613,1.3771404027938843,0.2,0.06516647338867188,0.0003,0.0014507929045066703,-0.0004987541792615957,0.0051454017,1.2886853684484958,149.06
1864,10266,73,19136512,0.5085319876670837,576,-0.12020684778690338,-11.834315739572048,1.3789317607879639,0.2,0.06965017318725586,0.0003,0.001460079571188544,-0.00026578791494102916,0.006867598,1.2814432029426097,151.11
1890,10259,74,19398656,0.5197224020957947,584,-0.11882035434246063,-11.836443670094013,1.381943941116333,0.2,0.07623767852783203,0.0003,0.001442882901756093,0.0003197233295395563,0.0057677673,1.3161788971722126,151.01
1917,10251,75,19660800,0.459677517414093,592,-0.11799393594264984,-11.853606946766376,1.3889575004577637,0.2,0.07186746597290039,0.0003,0.0018567104843896232,4.665053893404547e-05,0.005971969,1.372854822129011,157.52
1944,10246,76,19922944,0.4303361177444458,600,-0.12018980085849762,-11.870259620249271,1.3942139148712158,0.2,0.07075119018554688,0.0003,0.00209285817345517,-8.340324620803585e-05,0.005963513,1.1995776928961277,139.08
1971,10238,77,20185088,0.447221040725708,608,-0.11823245882987976,-11.879500038921833,1.3977634906768799,0.2,0.07592582702636719,0.0003,0.0017774837178876624,2.4938125079643214e-05,0.005665172,1.2662894502282143,151.11
1998,10233,78,20447232,0.46111005544662476,616,-0.11817748099565506,-11.888865008950233,1.40126371383667,0.2,0.07921838760375977,0.0003,0.0016587103127676528,0.0004325665890974051,0.0062760264,1.1948442676663398,148.69
