time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/std,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/clip_fraction,train/loss,train/explained_variance,train/entropy_loss
2115,103,12764,27000832,2.8965036869049072,0.2,0.0003,-0.0007667039717489388,0.014843824676063377,816,143.39,0.9273003624100238,0.008801937,0.09118318557739258,-0.17049570381641388,0.4829403758049011,-17.06046962738037
2136,104,12758,27262976,2.937324047088623,0.2,0.0003,-0.0011092766053479863,0.02039929852617206,824,130.97,0.7114513697475195,0.008028125,0.09210920333862305,-0.17187678813934326,0.6145368814468384,-17.14850762486458
2158,105,12754,27525120,2.975621223449707,0.2,0.0003,-0.0010647953849911573,0.01844400331901852,832,124.79,0.8739968011155724,0.009879312,0.09698343276977539,-0.17373356223106384,0.5584603548049927,-17.23448395729065
2179,106,12748,27787264,3.0125417709350586,0.2,0.0003,-0.0011345329276082339,0.019703869453223888,840,138.58,0.969279256016016,0.0084619215,0.09459972381591797,-0.17484770715236664,0.5526062548160553,-17.31573924422264
2201,107,12743,28049408,3.0478358268737793,0.2,0.0003,-0.0011283497865406389,0.018757697573164478,848,141.04,0.9995799132436514,0.008588014,0.09074020385742188,-0.17484259605407715,0.5914080739021301,-17.397200748324394
2222,108,12739,28311552,3.090064287185669,0.2,0.0003,-0.0008922825181798544,0.019603583175921813,856,127.95,0.9544166208058595,0.008254679,0.09466361999511719,-0.17482930421829224,0.5436128079891205,-17.485194489359856
2243,109,12734,28573696,3.1342689990997314,0.2,0.0003,-0.0007902898832981009,0.02201232068182435,864,139.91,0.8596141454204917,0.009951626,0.09739923477172852,-0.17659322917461395,0.5401270687580109,-17.578517630696297
2265,110,12729,28835840,3.1802430152893066,0.2,0.0003,-0.0012404936283019197,0.014867556987155695,872,145.76,0.9184878730401397,0.00884055,0.09125232696533203,-0.17750875651836395,0.5078098773956299,-17.68126282095909
2286,111,12726,29097984,3.204803705215454,0.2,0.0003,-0.0007905611578280514,0.015372208603366744,880,118.89,0.9442987466976046,0.007927354,0.0878138542175293,-0.17548368871212006,0.4822651743888855,-17.746913626790047
2307,112,12722,29360128,3.2500529289245605,0.2,0.0003,-0.0007607105071656406,0.025993862509494647,888,134.42,0.9818784623220563,0.009854993,0.11034488677978516,-0.17751751840114594,0.5954791009426117,-17.819121181964874
2329,113,12718,29622272,3.284292459487915,0.2,0.0003,-0.0012607026046680403,0.01823040515591856,896,138.55,0.7108915165811777,0.008705357,0.0971980094909668,-0.18078923225402832,0.5610600709915161,-17.898903399705887
2350,114,12713,29884416,3.3162386417388916,0.2,0.0003,-0.001065735427346226,0.01896565612696577,904,137.21,0.6879177959263325,0.008916146,0.10021591186523438,-0.17970383167266846,0.5651212930679321,-17.958626806735992
2371,115,12710,30146560,3.356945276260376,0.2,0.0003,-0.0011116154423689295,0.018921115959528834,912,133.12,0.8219704580307007,0.007460572,0.0947723388671875,-0.18162335455417633,0.635676771402359,-18.031446561217308
2393,116,12705,30408704,3.392620801925659,0.2,0.0003,-0.0008652180079025129,0.024652783482451923,920,127.72,0.8786493100225925,0.008936362,0.10422801971435547,-0.18123891949653625,0.6456907987594604,-18.1060361713171
2414,117,12701,30670848,3.444497585296631,0.2,0.0003,-0.0010968093324663641,0.02902153885224834,928,130.68,0.7319989006221295,0.009505595,0.10161972045898438,-0.18198662996292114,0.6518549621105194,-18.195025116205215
2436,118,12696,30932992,3.485292911529541,0.2,0.0003,-0.0009830730477915495,0.0246944485406857,936,128.65,0.6517560662329197,0.009937914,0.09830236434936523,-0.18362998962402344,0.6164358556270599,-18.28404489159584
2457,119,12692,31195136,3.526153564453125,0.2,0.0003,-0.0010043167317235202,0.022869093736517243,944,125.94,0.6302428277954459,0.01012701,0.11411237716674805,-0.1827501356601715,0.6047505140304565,-18.362288787961006
2479,120,12688,31457280,3.5643928050994873,0.2,0.0003,-0.0010532194469305978,0.03318979968025815,952,130.84,1.0269958888553083,0.008970007,0.09976720809936523,-0.18382960557937622,0.5688304305076599,-18.440244421362877
2500,121,12684,31719424,3.611477851867676,0.2,0.0003,-0.0008132659736475034,0.023594595681061037,960,138.17,0.827474295347929,0.00942822,0.10980033874511719,-0.18337595462799072,0.5967651009559631,-18.527754426002502
2522,122,12680,31981568,3.6447556018829346,0.2,0.0003,-0.0014449148670792056,0.019613299547927454,968,132.96,0.9225745976343751,0.008835131,0.10018730163574219,-0.18611912429332733,0.506763756275177,-18.596860945224762
2543,123,12676,32243712,3.679670572280884,0.2,0.0003,-0.0012747764649247983,0.026113625790458173,976,140.53,0.8796997021511197,0.008788004,0.10526561737060547,-0.1854247748851776,0.5545787215232849,-18.65276373922825
2565,124,12672,32505856,3.716738224029541,0.2,0.0003,-0.0007558978295492125,0.023795909699401818,984,138.34,0.7941708053275943,0.010941671,0.12340354919433594,-0.18559962511062622,0.5458609461784363,-18.718655705451965
2586,125,12668,32768000,3.7707111835479736,0.2,0.0003,-0.0009682473264547298,0.0255559664365137,992,138.7,1.1320072952657938,0.010607114,0.11256027221679688,-0.18546973168849945,0.6415159106254578,-18.802608236670494
2607,126,12665,33030144,3.8095767498016357,0.2,0.0003,-0.0009518017113805399,0.020054128886840772,1000,145.44,0.7193530102446676,0.009354907,0.11419057846069336,-0.18831399083137512,0.5765298902988434,-18.882351577281952
2629,127,12660,33292288,3.847414016723633,0.2,0.0003,-0.0014364750136337534,0.018228205772174988,1008,122.74,0.7943656302988529,0.009078457,0.10647726058959961,-0.1898360401391983,0.5078679621219635,-18.950988486409187
